TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Crimes,2019,12,8,7,44,36XX FRANKLIN ST,Hastings-Sunrise,498140.8921,5458806.746
Other Crimes,2019,11,27,17,0,36XX NAPIER ST,Hastings-Sunrise,498189.2224,5458024.413
Other Crimes,2019,12,4,23,19,36XX OXFORD ST,Hastings-Sunrise,498141.3629,5459218.76
Other Crimes,2019,5,18,8,45,3X KAMLOOPS ST,Hastings-Sunrise,496025.8221,5459081.48
Other Crimes,2019,7,25,10,45,3XX N KASLO ST,Hastings-Sunrise,496599.6402,5459467.114
Other Crimes,2019,10,28,22,0,3XX NANAIMO ST,Hastings-Sunrise,495892.4338,5458785.675
Other Crimes,2019,5,8,21,24,3XX SKEENA ST,Hastings-Sunrise,497944.1656,5458720.785
Other Crimes,2019,10,10,11,31,5XX RUPERT ST,Hastings-Sunrise,497551.9172,5458517.286
Other Crimes,2019,6,11,1,40,5XX SKEENA ST,Hastings-Sunrise,497934.9481,5458599.718
Other Crimes,2019,7,31,21,0,7XX RENFREW ST,Hastings-Sunrise,496797.0081,5458375.093
Other Crimes,2019,6,11,22,0,9XX NOOTKA ST,Hastings-Sunrise,496992.7586,5458102.537
Other Crimes,2019,11,3,13,0,10XX RENFREW ST,Hastings-Sunrise,496794.7698,5458055.15
Other Crimes,2019,9,10,19,30,10XX SLOCAN ST,Hastings-Sunrise,496404.3162,5458094.615
Other Crimes,2019,10,22,22,0,11XX NOOTKA ST,Hastings-Sunrise,496992.0761,5457919.222
Other Crimes,2019,6,5,23,45,13XX NOOTKA ST,Hastings-Sunrise,496990.9123,5457832.09
Other Crimes,2019,8,19,23,0,13XX NOOTKA ST,Hastings-Sunrise,496990.9123,5457832.09
Other Crimes,2019,7,19,21,30,14XX LILLOOET ST,Hastings-Sunrise,497173.2673,5457724.151
Other Crimes,2019,12,14,19,30,14XX NANAIMO ST,Hastings-Sunrise,495888.1948,5457727.014
Other Crimes,2019,4,26,18,0,15XX KAMLOOPS ST,Hastings-Sunrise,496017.0506,5457537.118
Other Crimes,2019,9,3,22,30,15XX LILLOOET ST,Hastings-Sunrise,497172.6463,5457616.358
Other Crimes,2019,8,11,22,30,15XX RENFREW ST,Hastings-Sunrise,496778.9942,5457617.48
Other Crimes,2019,10,25,12,14,16XX NANAIMO ST,Hastings-Sunrise,495887.0688,5457472.396
Other Crimes,2019,8,8,22,24,16XX RENFREW ST,Hastings-Sunrise,496788.0788,5457440.606
Other Crimes,2019,6,9,21,0,16XX RENFREW ST,Hastings-Sunrise,496788.2987,5457460.438
Other Crimes,2019,8,12,6,30,17XX RENFREW ST,Hastings-Sunrise,496786.7107,5457317.723
Other Crimes,2019,6,8,3,0,17XX RENFREW ST,Hastings-Sunrise,496787.5272,5457399.468
Other Crimes,2019,8,22,3,39,18XX RENFREW ST,Hastings-Sunrise,496777.1506,5457291.068
Other Crimes,2019,12,15,19,48,18XX RENFREW ST,Hastings-Sunrise,496785.7084,5457264.372
Other Crimes,2019,12,23,18,0,18XX RENFREW ST,Hastings-Sunrise,496785.7084,5457264.372
Other Crimes,2019,7,19,22,0,19XX SKEENA ST,Hastings-Sunrise,497933.935,5457196.874
Other Crimes,2019,4,3,7,27,1X N RENFREW ST,Hastings-Sunrise,496794.7505,5459130.734
Other Crimes,2019,3,5,2,56,1X NANAIMO ST,Hastings-Sunrise,495893.7027,5459098.935
Other Crimes,2019,10,16,21,0,1XX PENTICTON ST,Hastings-Sunrise,496225.3057,5459015.56
Other Crimes,2019,5,23,20,30,20XX NOOTKA ST,Hastings-Sunrise,496984.3796,5457098.705
Other Crimes,2019,2,23,19,0,21XX HERMON DR,Hastings-Sunrise,497829.8577,5456979.559
Other Crimes,2019,7,28,8,33,21XX SKEENA ST,Hastings-Sunrise,497933.1333,5456981.314
Other Crimes,2019,3,25,9,3,22XX CASSIAR ST,Hastings-Sunrise,497748.1637,5456793.736
Other Crimes,2019,10,29,11,0,22XX CASSIAR ST,Hastings-Sunrise,497748.1637,5456793.699
Other Crimes,2019,1,20,22,41,22XX HERMON DR,Hastings-Sunrise,497841.5368,5456818.538
Other Crimes,2019,7,11,22,0,22XX HERMON DR,Hastings-Sunrise,497850.521,5456831.232
Other Crimes,2019,3,29,2,0,22XX NOOTKA ST,Hastings-Sunrise,496982.8354,5456885.074
Other Crimes,2019,5,23,22,0,22XX RENFREW ST,Hastings-Sunrise,496780.1357,5456806.341
Other Crimes,2019,5,23,20,27,23XX HERMON DR,Hastings-Sunrise,497758.3793,5456700.428
Other Crimes,2019,7,6,10,0,23XX NOOTKA ST,Hastings-Sunrise,496981.4275,5456697.448
Other Crimes,2019,3,8,14,50,24XX E 1ST AVE,Hastings-Sunrise,495905.146,5457428.579
Other Crimes,2019,4,6,17,0,24XX E 5TH AVE,Hastings-Sunrise,495985.3177,5456992.753
Other Crimes,2019,1,21,19,0,24XX E GEORGIA ST,Hastings-Sunrise,495931.4892,5458398.849
Other Crimes,2019,2,23,18,0,24XX E HASTINGS ST,Hastings-Sunrise,495891.8152,5458709.692
Other Crimes,2019,4,8,21,9,24XX E HASTINGS ST,Hastings-Sunrise,495924.6936,5458718.755
Other Crimes,2019,3,13,1,34,24XX E HASTINGS ST,Hastings-Sunrise,495975.9579,5458718.63
Other Crimes,2019,11,2,2,2,24XX E HASTINGS ST,Hastings-Sunrise,495999.5512,5458718.572
Other Crimes,2019,1,27,10,30,24XX E HASTINGS ST,Hastings-Sunrise,496023.2391,5458709.37
Other Crimes,2019,10,21,20,54,24XX E HASTINGS ST,Hastings-Sunrise,496023.2615,5458718.514
Other Crimes,2019,7,19,6,0,24XX KAMLOOPS ST,Hastings-Sunrise,496014.6473,5456684.734
Other Crimes,2019,7,1,5,0,24XX PARKER ST,Hastings-Sunrise,495956.6827,5458113.239
Other Crimes,2019,7,18,22,0,24XX TRINITY ST,Hastings-Sunrise,495893.9586,5459659.224
Other Crimes,2019,9,5,12,4,24XX TURNER ST,Hastings-Sunrise,495923.9473,5458489.567
Other Crimes,2019,3,8,11,50,25XX CAMBRIDGE ST,Hastings-Sunrise,496142.1858,5459337.495
Other Crimes,2019,12,11,7,45,25XX DUNDAS ST,Hastings-Sunrise,496203.8914,5459120.035
Other Crimes,2019,2,26,7,37,25XX E 4TH AVE,Hastings-Sunrise,496145.8982,5457098.313
Other Crimes,2019,6,30,0,0,25XX E BROADWAY AVE,Hastings-Sunrise,496081.5859,5456589.077
Other Crimes,2019,9,20,14,0,25XX E BROADWAY AVE,Hastings-Sunrise,496081.5859,5456589.077
Other Crimes,2019,9,23,23,43,25XX E BROADWAY AVE,Hastings-Sunrise,496081.5859,5456589.077
Other Crimes,2019,7,2,7,45,25XX E GEORGIA ST,Hastings-Sunrise,496037.926,5458398.606
Other Crimes,2019,1,14,0,0,25XX E HASTINGS ST,Hastings-Sunrise,496039.7371,5458709.326
Other Crimes,2019,2,20,15,57,25XX E HASTINGS ST,Hastings-Sunrise,496097.8061,5458718.307
Other Crimes,2019,12,30,17,0,25XX E HASTINGS ST,Hastings-Sunrise,496186.0051,5458708.914
Other Crimes,2019,7,1,10,42,25XX E HASTINGS ST,Hastings-Sunrise,496186.0308,5458718.058
Other Crimes,2019,4,12,11,0,25XX E PENDER ST,Hastings-Sunrise,496035.254,5458605.429
Other Crimes,2019,7,27,11,31,25XX E PENDER ST,Hastings-Sunrise,496107.9994,5458605.263
Other Crimes,2019,3,13,0,0,25XX ETON ST,Hastings-Sunrise,496150.6315,5459439.19
Other Crimes,2019,11,16,16,0,25XX MCGILL ST,Hastings-Sunrise,496038.89,5459550.636
Other Crimes,2019,6,21,17,6,25XX MCGILL ST,Hastings-Sunrise,496088.071,5459559.198
Other Crimes,2019,12,21,10,57,25XX NAPIER ST,Hastings-Sunrise,496031.8395,5458021.5
